business_name,category,address,phone,website,website_domain,emails_found_in_original_scrape,email_source_fields,other_scraped_urls,google_maps_url,place_id,closed_flag
Sierra Brasserie,Brasserie,"Yaya Centre, Argwings Kodhek Rd, Hurlingham, 69671 - 00400, Nairobi, Kenya",+254 788 515224,,,,,"https://www.google.com/maps/search/?api=1&query=Sierra%20Brasserie&query_place_id=ChIJpaiz36MQLxgRNkqG72cxLMQ | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.79946094992056,16z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk_oniDjwPAFS36qDENf2eVfN0vayZnx-IhAdHDVjHqXZfpP8y2bBzDcU_ihx0Xo_B6omPEg8fekOv-T16955amwoXx7Hit0qABJz2BqYptsK1nWWbFwnqOe6-TDi7tKSdYjtCqKA=w408-h307-k-no",https://www.google.com/maps/search/?api=1&query=Sierra%20Brasserie&query_place_id=ChIJpaiz36MQLxgRNkqG72cxLMQ,ChIJpaiz36MQLxgRNkqG72cxLMQ,False
Good Day Dishes,Breakfast restaurant,"Nairobi, Kenya",+254 794 112879,,,,,"https://www.google.com/maps/search/?api=1&query=Good%20Day%20Dishes&query_place_id=ChIJB_AFPwMRLxgRJWH4quWddKQ | https://www.google.com/maps/search/restaurant/@-1.2986442,36.77959205,17.00233251124554z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnjoQudsedY5BdiYcK1PCZIRi6rqmaG3OBfZDpVdWZsg9bR7MlX4M3UUyWDCrqRw5zG_gmRVKevVX3E9JwOcV33DeWXh4TihrUw4GGbSXJArbGt4IyGNWZ_zyN2n0eto1YJCnud-g=w408-h408-k-no",https://www.google.com/maps/search/?api=1&query=Good%20Day%20Dishes&query_place_id=ChIJB_AFPwMRLxgRJWH4quWddKQ,ChIJB_AFPwMRLxgRJWH4quWddKQ,False
Gracana,Breakfast restaurant,"MPVQ+FCW, Ngong Rd, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Gracana&query_place_id=ChIJx7ImdQAbLxgROs3UcoUH-IE | https://www.google.com/maps/search/restaurant/@-1.3135946628330823,36.73071708346572,16z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sgYdWoKkSD69eR0FI40S-g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=347.51407&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Gracana&query_place_id=ChIJx7ImdQAbLxgROs3UcoUH-IE,ChIJx7ImdQAbLxgROs3UcoUH-IE,False
Millimag Rabbit Eatery,Brunch restaurant,"Adams Minimall, Suna Rd, Nairobi, Kenya",+254 746 366538,,,,,"https://www.google.com/maps/search/?api=1&query=Millimag%20Rabbit%20Eatery&query_place_id=ChIJn6ot2JwbLxgRRpFISKZVbLQ | https://www.google.com/maps/search/restaurant/@-1.2999357,36.7739766,17.00233177367389z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmPJYbmq7YfrgW0xrtFTiLdTV4ymjTilNBAatLEf1t1NPAiS0kJTPMSO1DgrJ8ed9BofQzj2qZPl1nNM_yr908r0Td4zuescZVtnys404Hc5QmlMb2wskY1_ZBHVwCHXhpP1R8q8w=w408-h544-k-no",https://www.google.com/maps/search/?api=1&query=Millimag%20Rabbit%20Eatery&query_place_id=ChIJn6ot2JwbLxgRRpFISKZVbLQ,ChIJn6ot2JwbLxgRRpFISKZVbLQ,False
New bangkok kitchen chinese restaurant( Thai Food Available),Brunch restaurant,"Riara Rd, Nairobi, Kenya",+254 711 372372,,,,,"https://www.google.com/maps/search/?api=1&query=New%20bangkok%20kitchen%20chinese%20restaurant(%20Thai%20Food%20Available)&query_place_id=ChIJ_0PRZxwbLxgR4fnvMBCI3IE | https://www.google.com/maps/search/restaurant/@-1.2983534384615385,36.76283634615385,17.002332677197412z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkfxfUHoym0m8iU35yrz2wKixRHPx4YcPQWogUzAJTAen4K7g-TI2m8sn8OfFIr6GUw06Uz1hiTXch6tCs70IzGvCNk-2Ca600_r8wBnw9yK_npYmnntqpXCBzJO6ND8B48FQ84Yo7PhJ3X=w408-h544-k-no",https://www.google.com/maps/search/?api=1&query=New%20bangkok%20kitchen%20chinese%20restaurant(%20Thai%20Food%20Available)&query_place_id=ChIJ_0PRZxwbLxgR4fnvMBCI3IE,ChIJ_0PRZxwbLxgR4fnvMBCI3IE,False
"SINALOA, LAVINGTON KINGARA ROAD",Brunch restaurant,"PQ56+HJ3, Nairobi, Kenya",+254 116 666588,,,,,"https://www.google.com/maps/search/?api=1&query=SINALOA%2C%20LAVINGTON%20KINGARA%20ROAD&query_place_id=ChIJwybKLgAbLxgR3rikSvmaonI | https://www.google.com/maps/search/restaurant/@-1.292292,36.7671123,17.00233612829275z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlvwe0cA5JtylIMZYIIAXpnvirOBjlex5CYWdGvkTrF7Y4PFIA2IUr3Mjh0Y2mq1cnHfXaSR_n2ffgBOLO6V5M6heKUvFrw6pXmuV5EPd481Fq_3Im72EGnYtyXjsFUoy1irRw4nCLuQmrZ=w426-h240-k-no",https://www.google.com/maps/search/?api=1&query=SINALOA%2C%20LAVINGTON%20KINGARA%20ROAD&query_place_id=ChIJwybKLgAbLxgR3rikSvmaonI,ChIJwybKLgAbLxgR3rikSvmaonI,False
Upishi Corner,Brunch restaurant,"PQ2G+H2W, Bald Wini Rd, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Upishi%20Corner&query_place_id=ChIJpWNMAgAbLxgRNQeKnUjyzp8 | https://www.google.com/maps/search/restaurant/@-1.2955217,36.7736869,17.002334291465527z?hl=en",https://www.google.com/maps/search/?api=1&query=Upishi%20Corner&query_place_id=ChIJpWNMAgAbLxgRNQeKnUjyzp8,ChIJpWNMAgAbLxgRNQeKnUjyzp8,False
Petite fishsizzler inn,Buffet restaurant,"MQCH+JGF, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Petite%20fishsizzler%20inn&query_place_id=ChIJhQoUU9IbLxgR6W5XFnvjBPI | https://www.google.com/maps/search/restaurant/@-1.3307757371669178,36.78227498330685,16z?hl=en",https://www.google.com/maps/search/?api=1&query=Petite%20fishsizzler%20inn&query_place_id=ChIJhQoUU9IbLxgR6W5XFnvjBPI,ChIJhQoUU9IbLxgR6W5XFnvjBPI,False
烤肉自助餐厅,Buffet restaurant,"Galana Plaza, Galana Rd, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=%E7%83%A4%E8%82%89%E8%87%AA%E5%8A%A9%E9%A4%90%E5%8E%85&query_place_id=ChIJlTyM_k4RLxgRKI-tU1C2gGg | https://www.google.com/maps/search/restaurant/@-1.293340725,36.778052200000005,17.00233553235424z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3OeNKc_RPHQGKtuz3yeQrQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=257.74585&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=%E7%83%A4%E8%82%89%E8%87%AA%E5%8A%A9%E9%A4%90%E5%8E%85&query_place_id=ChIJlTyM_k4RLxgRKI-tU1C2gGg,ChIJlTyM_k4RLxgRKI-tU1C2gGg,False
The veranda cafe valley arcade- البرندة كافيه,Cafe,"Westfield mall, Hendred Ave, Nairobi, Kenya",+254 142 548880,,,,,"https://www.google.com/maps/search/?api=1&query=The%20veranda%20cafe%20valley%20arcade-%20%D8%A7%D9%84%D8%A8%D8%B1%D9%86%D8%AF%D8%A9%20%D9%83%D8%A7%D9%81%D9%8A%D9%87&query_place_id=ChIJC6-YWacbLxgRZ2XkSTtjeuo | https://www.google.com/maps/search/restaurant/@-1.2955217,36.7736869,17.002334291465527z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlcoyTLsPQ6krLH7v9z3Z56ckaejr-e_ohXCm6f4tANIRWfQ6Mg3iNUhi9KMpWV3SX7GPPsox50wuIv6ttJkGvAS15KU6IXS_OkaiRWGYOzuf13PQ7gVxsI0GvxVBrob1cvOQmlvURehJDY=w408-h306-k-no",https://www.google.com/maps/search/?api=1&query=The%20veranda%20cafe%20valley%20arcade-%20%D8%A7%D9%84%D8%A8%D8%B1%D9%86%D8%AF%D8%A9%20%D9%83%D8%A7%D9%81%D9%8A%D9%87&query_place_id=ChIJC6-YWacbLxgRZ2XkSTtjeuo,ChIJC6-YWacbLxgRZ2XkSTtjeuo,False
Kings Guest Hotel,Camping cabin,"MQW3+QVH, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Kings%20Guest%20Hotel&query_place_id=ChIJ97nFIgAbLxgRpzjlk5lgjFE | https://www.google.com/maps/search/Hotel/@-1.296413588499247,36.76508901669314,16z?hl=en",https://www.google.com/maps/search/?api=1&query=Kings%20Guest%20Hotel&query_place_id=ChIJ97nFIgAbLxgRpzjlk5lgjFE,ChIJ97nFIgAbLxgRpzjlk5lgjFE,False
Chicken Inn Kilimani,Chicken restaurant,"Yaya, Nairobi, Kenya",+254 700 323323,,,,,"https://www.google.com/maps/search/?api=1&query=Chicken%20Inn%20Kilimani&query_place_id=ChIJ3YDkBsYRLxgR-MRcmFlgpqQ | https://www.google.com/maps/search/restaurant/@-1.293340725,36.778052200000005,17.00233553235424z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlboLavu1JvgyYR2VMd4YU-2JqCAuKknYaWTkg9fb0c5XrRHpemtSsm4V7RoWCMSS0BqLEkJK-mqnpzme8nk0lnIlp5PESKu_se2aJNXykFA8vJ_fZwkDOH-nOOjvq0kCFg6KFZzA=w408-h544-k-no",https://www.google.com/maps/search/?api=1&query=Chicken%20Inn%20Kilimani&query_place_id=ChIJ3YDkBsYRLxgR-MRcmFlgpqQ,ChIJ3YDkBsYRLxgR-MRcmFlgpqQ,False
Cucu's Chicken,Chicken restaurant,"MQXJ+747, Lagiri Rd, Nairobi City, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Cucu | https://www.google.com/maps/search/restaurant/@-1.2999357,36.7739766,17.00233177367389z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=47fC6VgN4sM_JpvvOvcCXw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=4.9344726&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Cucu's%20Chicken&query_place_id=ChIJW1FttHcaLxgROPx75fqo_74,ChIJW1FttHcaLxgROPx75fqo_74,False
Drumstick Eating House,Chicken restaurant,"PQ24+CJM, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Drumstick%20Eating%20House&query_place_id=ChIJexW8FkEaLxgRIlsZgbResks | https://www.google.com/maps/search/restaurant/@-1.30206825,36.7531745,17.002330554175863z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zoM35hZtOMZiWnk4TV6dhw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=324.2475&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Drumstick%20Eating%20House&query_place_id=ChIJexW8FkEaLxgRIlsZgbResks,ChIJexW8FkEaLxgRIlsZgbResks,False
Kenchic Rest,Chicken restaurant,"Plot 330 Gitanga Rd, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Kenchic%20Rest&query_place_id=ChIJyd9azREaLxgRnLixHXUmCyo | https://www.google.com/maps/search/restaurant/@-1.2895935545454547,36.773318836363636,17.002337659462743z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qtVBV5Aw9DtgdAvMU1V7mA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=182.90262&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Kenchic%20Rest&query_place_id=ChIJyd9azREaLxgRnLixHXUmCyo,ChIJyd9azREaLxgRnLixHXUmCyo,False
M & M Chicken Palour,Chicken restaurant,"MQRH+J68, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=M%20%26%20M%20Chicken%20Palour&query_place_id=ChIJb6aywX4aLxgR9WRyJX7IrfQ | https://www.google.com/maps/search/restaurant/@-1.3135946628330823,36.76508901669314,16z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=00v3FWrI2xph7YpDIxUrPA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=223.43233&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=M%20%26%20M%20Chicken%20Palour&query_place_id=ChIJb6aywX4aLxgR9WRyJX7IrfQ,ChIJb6aywX4aLxgR9WRyJX7IrfQ,False
McFrys Langata Rd Bomas,Chicken restaurant,"MQ57+72R, Langata Rd, Nairobi, Kenya",+254 745 076349,,,,,"https://www.google.com/maps/search/?api=1&query=McFrys%20Langata%20Rd%20Bomas&query_place_id=ChIJle0GaWEbLxgRPMIgCH4wnu0 | https://www.google.com/maps/search/restaurant/@-1.3479568115007532,36.74790305007943,16z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmajslsHcac_y9-f_cGNLWCe6TkMzcrtpbAv3OGhmIMjQ1Vqc77lb7hDkUrso8ggjnEtuKonh86fWruiasUPTkZ32_5NqkUVrMRVpcHkH_zbxobRyD3O9l2K77X7EKZagP7svo=w408-h544-k-no",https://www.google.com/maps/search/?api=1&query=McFrys%20Langata%20Rd%20Bomas&query_place_id=ChIJle0GaWEbLxgRPMIgCH4wnu0,ChIJle0GaWEbLxgRPMIgCH4wnu0,False
Neighbour Chicken Banda,Chicken restaurant,"MQQF+RF9, Kibera Dr, Nairobi City, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Neighbour%20Chicken%20Banda&query_place_id=ChIJbVhuCn0aLxgRJgYKZYiaiEc | https://www.google.com/maps/search/restaurant/@-1.3135946628330823,36.76508901669314,16z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1HwyP-RTP4rIRRmZ-nRKqg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=228.56445&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Neighbour%20Chicken%20Banda&query_place_id=ChIJbVhuCn0aLxgRJgYKZYiaiEc,ChIJbVhuCn0aLxgRJgYKZYiaiEc,False
Travellers bar $ restaurant,Chicken restaurant,"255 Mwingi Rd, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Travellers%20bar%20%24%20restaurant&query_place_id=ChIJ03yffwARLxgRaDgQIWOzr8A | https://www.google.com/maps/search/restaurant/@-1.2792325141654115,36.78227498330685,16z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=waIlH5flRClC8UXU4vJwsg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=72.36924&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Travellers%20bar%20%24%20restaurant&query_place_id=ChIJ03yffwARLxgRaDgQIWOzr8A,ChIJ03yffwARLxgRaDgQIWOzr8A,False
Chicken Supply Master,Chicken shop,"Karandini Rd, Nairobi, Kenya",+254 708 039641,,,,,"https://www.google.com/maps/search/?api=1&query=Chicken%20Supply%20Master&query_place_id=ChIJO3LtckEaLxgR0md3nb9ZGyg | https://www.google.com/maps/search/restaurant/@-1.30206825,36.7531745,17.002330554175863z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm9yBDxKACUZL_tb6gNzT46GAh3Hyeo0ltg4D7qYao71N8pYr-48dCrba_TgwQvLHW6RVJ1C-ppodXZEt87yM8PU6_GjR_LENG8FTl01C7j265jVzXaGTyRJ6cvPgw0boZoxKw=w426-h240-k-no",https://www.google.com/maps/search/?api=1&query=Chicken%20Supply%20Master&query_place_id=ChIJO3LtckEaLxgR0md3nb9ZGyg,ChIJO3LtckEaLxgR0md3nb9ZGyg,False
Mount Zion Enterprise Kinoo,Chicken shop,"Kinoo Rd, Nairobi, Kenya",+254 722 321886,,,,,"https://www.google.com/maps/search/?api=1&query=Mount%20Zion%20Enterprise%20Kinoo&query_place_id=ChIJzR1WRy4bLxgRoCdWyIqWHlI | https://www.google.com/maps/search/restaurant/@-1.3135946628330823,36.76508901669314,16z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=L8iMwiv9B0Ecl2MDU0WoNw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=270.65457&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Mount%20Zion%20Enterprise%20Kinoo&query_place_id=ChIJzR1WRy4bLxgRoCdWyIqWHlI,ChIJzR1WRy4bLxgRoCdWyIqWHlI,False
Beijing Square Meals,Chinese noodle restaurant,"Nairobi, Kenya",+254 713 489369,,,,,"https://www.google.com/maps/search/?api=1&query=Beijing%20Square%20Meals&query_place_id=ChIJuygfumgbLxgRU7VcSeJBu98 | https://www.google.com/maps/search/restaurant/@-1.2895935545454547,36.773318836363636,17.002337659462743z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm-OJQB4JLIFCoC8sPV5I96X8ha_naMnRlfhHCmjeiSta7BRHE4KWB9yD6JYVokGiuvQSKFwPCoLm2feF5W0974Z3pUPAXkOPLUpJjoPjVTz88y-zb3CjvjTDwykmAxV6F9EQpXvf1qO30=w408-h272-k-no",https://www.google.com/maps/search/?api=1&query=Beijing%20Square%20Meals&query_place_id=ChIJuygfumgbLxgRU7VcSeJBu98,ChIJuygfumgbLxgRU7VcSeJBu98,False
Chinese restaurant,Chinese restaurant,"PQ5W+54C, Jabavu Rd, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Chinese%20restaurant&query_place_id=ChIJpUvrHAARLxgRljATokZa_9M | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.78227498330685,16z?hl=en",https://www.google.com/maps/search/?api=1&query=Chinese%20restaurant&query_place_id=ChIJpUvrHAARLxgRljATokZa_9M,ChIJpUvrHAARLxgRljATokZa_9M,False
Encounter Garden,Chinese restaurant,"PQ6J+6M3, Kirichwa gardens, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Encounter%20Garden&query_place_id=ChIJLyOguwMbLxgROvqQ_6ts5D4 | https://www.google.com/maps/search/restaurant/@-1.293340725,36.778052200000005,17.00233553235424z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlX450B0BPn0f-J0Q-UrCgZUDBcV2XJBPAKY4XOrDgCD620YYPOV5B6bjvBJ56xgDuBGFcc8AlRjeU_lWEU7IfT6aP0K8HhiWT3d0KrW4642oGV67q6O7Bsb2-PwjdF6WrZVUgw=w408-h306-k-no",https://www.google.com/maps/search/?api=1&query=Encounter%20Garden&query_place_id=ChIJLyOguwMbLxgROvqQ_6ts5D4,ChIJLyOguwMbLxgROvqQ_6ts5D4,False
For You Chinese Restaurant,Chinese restaurant,"Gitanga Rd, Nairobi City, Kenya",+254 735 536090,,,,,"https://www.google.com/maps/search/?api=1&query=For%20You%20Chinese%20Restaurant&query_place_id=ChIJxe3FVA4aLxgR-D5X7qCPuIQ | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.76508901669314,16z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmydUnR_uM3mIFOskt0cd3a3oH5pU5_MasjidwETcmNpDgwUxlvy0G9MFAonhujYkxEQ-PNVa51QAdFHhoqv9VrTfxnCMUhO6ISCH3RUdmhV_3VSevRbnhocabvcNmSYcVVJJhqjg=w408-h306-k-no",https://www.google.com/maps/search/?api=1&query=For%20You%20Chinese%20Restaurant&query_place_id=ChIJxe3FVA4aLxgR-D5X7qCPuIQ,ChIJxe3FVA4aLxgR-D5X7qCPuIQ,False
Golden Pearl Chinese Restaurant,Chinese restaurant,"Kilimani Ngong Forest Rd China Centre, Nairobi, North, Kenya",+254 20 3750993,,,,,"https://www.google.com/maps/search/?api=1&query=Golden%20Pearl%20Chinese%20Restaurant&query_place_id=ChIJ_8LP1MQRLxgRs-uLdMlXBP4 | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.79946094992056,16z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N_ghtq-lvzlR2UgLIvCobg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=215.56352&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Golden%20Pearl%20Chinese%20Restaurant&query_place_id=ChIJ_8LP1MQRLxgRs-uLdMlXBP4,ChIJ_8LP1MQRLxgRs-uLdMlXBP4,False
Harbin Restaurant(Business Closed),Chinese restaurant,"Argwings Kodhek Rd, North, Kenya",+254 20 2711115,,,,,"https://www.google.com/maps/search/?api=1&query=Harbin%20Restaurant(Business%20Closed)&query_place_id=ChIJY8ALz5ERLxgRJLoVTjhtyQI | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.79946094992056,16z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E8bFQBog-14Jhm9B3DNNhA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=291.59424&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Harbin%20Restaurant(Business%20Closed)&query_place_id=ChIJY8ALz5ERLxgRJLoVTjhtyQI,ChIJY8ALz5ERLxgRJLoVTjhtyQI,False
Hong Kong Lavington,Chinese restaurant,"PQ7F+34M, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Hong%20Kong%20Lavington&query_place_id=ChIJScn5CaIbLxgRDKEVBsQln8g | https://www.google.com/maps/search/restaurant/@-1.2895935545454547,36.773318836363636,17.002337659462743z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ji1HIa1YWwH6JNrE1iR0NQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=248.19144&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Hong%20Kong%20Lavington&query_place_id=ChIJScn5CaIbLxgRDKEVBsQln8g,ChIJScn5CaIbLxgRDKEVBsQln8g,False
Hongs Restaurant,Chinese restaurant,"Ring Rd Kilimani, North, Kenya",+254 720 792299,,,,,"https://www.google.com/maps/search/?api=1&query=Hongs%20Restaurant&query_place_id=ChIJu9DnhqEQLxgRHUnULV3Y_0Y | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.78227498330685,16z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=na5ei4hEE6nXhpFtkgbV5w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=267.88034&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Hongs%20Restaurant&query_place_id=ChIJu9DnhqEQLxgRHUnULV3Y_0Y,ChIJu9DnhqEQLxgRHUnULV3Y_0Y,False
Lao Shandong Restaurant,Chinese restaurant,"525 Kindaruma Rd, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Lao%20Shandong%20Restaurant&query_place_id=ChIJm0pyYacRLxgRQj1YLeSPjx4 | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.78227498330685,16z?hl=en",https://www.google.com/maps/search/?api=1&query=Lao%20Shandong%20Restaurant&query_place_id=ChIJm0pyYacRLxgRQj1YLeSPjx4,ChIJm0pyYacRLxgRQj1YLeSPjx4,False
Mandarin Kenya,Chinese restaurant,"Junction Mall, Ngong Rd, Nairobi, Kenya",+254 105 000105,,,,,"https://www.google.com/maps/search/?api=1&query=Mandarin%20Kenya&query_place_id=ChIJaaBLBLcbLxgRR-8vMGLFoQw | https://www.google.com/maps/search/restaurant/@-1.2983534384615385,36.76283634615385,17.002332677197412z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkn3ms-n6rMSjlwxTi9ZwG-gXF-q2qAE81HaFXSg7rGuu2iqpA8mIp6SRhmYFU0wgaSl2geUm7z2oLU9GyWrPkXpUMxNloMnifHowyHIs4jUAB-J__vSNIwasefRVV82qM1HzDX=w408-h306-k-no",https://www.google.com/maps/search/?api=1&query=Mandarin%20Kenya&query_place_id=ChIJaaBLBLcbLxgRR-8vMGLFoQw,ChIJaaBLBLcbLxgRR-8vMGLFoQw,False
Red lantern chinese restaurant,Chinese restaurant,"PQ4P+WR5, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Red%20lantern%20chinese%20restaurant&query_place_id=ChIJ0V0dSQARLxgRwvrgdGtJE9o | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.78227498330685,16z?hl=en | https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sNx8mmgAS9UY51T6AtVkqw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=301.82318&pitch=0&thumbfov=100",https://www.google.com/maps/search/?api=1&query=Red%20lantern%20chinese%20restaurant&query_place_id=ChIJ0V0dSQARLxgRwvrgdGtJE9o,ChIJ0V0dSQARLxgRwvrgdGtJE9o,False
ROYAL MINGZHU BRILLIANT RESTAURANT,Chinese restaurant,"PQ7H+4HW, Suguta Rd, Nairobi, Kenya",+254 799 908888,,,,,"https://www.google.com/maps/search/?api=1&query=ROYAL%20MINGZHU%20BRILLIANT%20RESTAURANT&query_place_id=ChIJtwc9MyUbLxgRmOpScGjrK0M | https://www.google.com/maps/search/restaurant/@-1.2792325141654115,36.76508901669314,16z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnLcjWtI_KUYmL3C5O1GTyNz1utPLbb-rH3GxcyULn_EkCXpXzp7nX0hVQ8Juy8kGkFv5Lg6JxEnSRvq0Prf7fPQSUNMwI0CQF75qE0peNgdRw5fGMpzDNrPug10xa3CxPIBypu=w408-h271-k-no",https://www.google.com/maps/search/?api=1&query=ROYAL%20MINGZHU%20BRILLIANT%20RESTAURANT&query_place_id=ChIJtwc9MyUbLxgRmOpScGjrK0M,ChIJtwc9MyUbLxgRmOpScGjrK0M,False
Shanghai Chinese Restaurant,Chinese restaurant,"New Hurlingham Plaza, Argwings Kodhek Rd, Starehe, Kenya",+254 20 2710856,,,,,"https://www.google.com/maps/search/?api=1&query=Shanghai%20Chinese%20Restaurant&query_place_id=ChIJlep94r0QLxgRZzs0pbFmsQY | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.79946094992056,16z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlsiad9myGULjMPPROg4kVeo7jmYOtG2Nfwvl5hFzW1RdL8oPr6KCl-ymm69t-9HKfNdEwWbcEE9ryrPK4Rk0pMGSF4Vb1rGdaCvc8OaO1Dc-LSOnilPMtZO67CzZZuzhUtsR2n=w408-h306-k-no",https://www.google.com/maps/search/?api=1&query=Shanghai%20Chinese%20Restaurant&query_place_id=ChIJlep94r0QLxgRZzs0pbFmsQY,ChIJlep94r0QLxgRZzs0pbFmsQY,False
"Shangrila restaurant galana road,galana plaza 1st floor",Chinese restaurant,"PQ5M+M6X, Nairobi, Kenya",,,,,,"https://www.google.com/maps/search/?api=1&query=Shangrila%20restaurant%20galana%20road%2Cgalana%20plaza%201st%20floor&query_place_id=ChIJkbhaGQARLxgRipdQVDFnk_0 | https://www.google.com/maps/search/restaurant/@-1.296413588499247,36.78227498330685,16z?hl=en | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn1KWHKNHowJUax0xziywafVmxzWyHLjWTai9GeKGeTdc-8r2Jxp1rEnb8yl2OGSzb9Mx-Gnt284uYQKdWQzYKlQrtmpdV0Vp2xZ54CqK6W_E_kmqz4Vo4bCqzjuMS75e5OnRec4g=w408-h306-k-no",https://www.google.com/maps/search/?api=1&query=Shangrila%20restaurant%20galana%20road%2Cgalana%20plaza%201st%20floor&query_place_id=ChIJkbhaGQARLxgRipdQVDFnk_0,ChIJkbhaGQARLxgRipdQVDFnk_0,False
